"magpiecell","basincode"
"GHA.1201",25794
"GHA.1202",25593
"GHA.1203",26073
"GHA.1204",26073
"GHA.1205",26073
"GHA.1206",26073
"GHA.1207",26073
"GHA.1208",26073
"GHA.1209",26073
"GHA.1210",26073
"GHA.1211",26073
"BFA.1212",26073
"BFA.1213",26073
"BFA.1214",26073
"BFA.1215",27033
"BFA.1216",27033
"BFA.1217",27033
"BFA.1218",27033
"BFA.1219",27033
"MLI.1220",27033
"MLI.1221",27033
"MLI.1222",27033
"MLI.1223",27033
"MLI.1224",27033
"MLI.1225",27033
"MLI.1226",27033
"MLI.1227",25425
"MLI.1228",25425
"MLI.1229",25425
"MLI.1230",25425
"MLI.1231",25425
"MLI.1232",25425
"MLI.1233",25425
"MLI.1234",25628
"GHA.1235",25890
"GHA.1236",26073
"GHA.1237",26073
"GHA.1238",26073
"GHA.1239",26073
"GHA.1240",26073
"GHA.1241",26073
"GHA.1242",26073
"GHA.1243",26073
"GHA.1244",26073
"GHA.1245",26073
"BFA.1246",26073
"BFA.1247",26073
"BFA.1248",27033
"BFA.1249",27033
"BFA.1250",27033
"BFA.1251",27033
"BFA.1252",27033
"BFA.1253",27033
"MLI.1254",27033
"MLI.1255",27033
"MLI.1256",27033
"MLI.1257",27033
"MLI.1258",27033
"MLI.1259",27033
"MLI.1260",27033
"MLI.1261",27033
"MLI.1262",27033
"MLI.1263",26104
"MLI.1264",25425
"MLI.1265",25425
"MLI.1266",25425
"MLI.1267",25425
"GHA.1268",25983
"GHA.1269",26073
"GHA.1270",26073
"GHA.1271",26073
"GHA.1272",26073
"GHA.1273",26073
"GHA.1274",26073
"GHA.1275",26073
"GHA.1276",26073
"GHA.1277",26073
"TGO.1278",26073
"BFA.1279",26073
"BFA.1280",26073
"BFA.1281",27033
"BFA.1282",27033
"BFA.1283",27033
"BFA.1284",27033
"BFA.1285",27033
"NER.1286",27033
"MLI.1287",27033
"MLI.1288",27033
"MLI.1289",27033
"MLI.1290",27033
"MLI.1291",27033
