"cell","IPCC","IPCC_reduced"
"AUS.53521","tropical_dry","tropical_dry"
"AUS.53522","tropical_dry","tropical_dry"
"AUS.53523","tropical_dry","tropical_dry"
"AUS.53524","tropical_dry","tropical_dry"
"AUS.53525","tropical_dry","tropical_dry"
"AUS.53526","tropical_dry","tropical_dry"
"AUS.53527","tropical_dry","tropical_dry"
"AUS.53528","tropical_dry","tropical_dry"
"AUS.53529","tropical_dry","tropical_dry"
"AUS.53530","tropical_dry","tropical_dry"
"AUS.53531","tropical_dry","tropical_dry"
"AUS.53532","tropical_dry","tropical_dry"
"AUS.53533","tropical_dry","tropical_dry"
"AUS.53534","tropical_dry","tropical_dry"
"AUS.53535","tropical_dry","tropical_dry"
"AUS.53536","tropical_moist","tropical_moist"
"AUS.53537","warm_temperate_dry","temperate_dry"
"AUS.53538","warm_temperate_dry","temperate_dry"
"AUS.53539","warm_temperate_dry","temperate_dry"
"AUS.53540","tropical_dry","tropical_dry"
"AUS.53541","tropical_dry","tropical_dry"
"AUS.53542","tropical_dry","tropical_dry"
"AUS.53543","tropical_dry","tropical_dry"
"AUS.53544","tropical_dry","tropical_dry"
"AUS.53545","tropical_dry","tropical_dry"
"AUS.53546","tropical_dry","tropical_dry"
"AUS.53547","tropical_dry","tropical_dry"
"AUS.53548","tropical_dry","tropical_dry"
"AUS.53549","tropical_dry","tropical_dry"
"AUS.53550","tropical_dry","tropical_dry"
"AUS.53551","tropical_dry","tropical_dry"
"AUS.53552","tropical_dry","tropical_dry"
"AUS.53553","tropical_dry","tropical_dry"
"AUS.53554","tropical_dry","tropical_dry"
"AUS.53555","tropical_dry","tropical_dry"
"AUS.53556","tropical_dry","tropical_dry"
"AUS.53557","tropical_dry","tropical_dry"
"AUS.53558","tropical_dry","tropical_dry"
"AUS.53559","tropical_dry","tropical_dry"
"AUS.53560","tropical_dry","tropical_dry"
"AUS.53561","tropical_dry","tropical_dry"
"AUS.53562","tropical_dry","tropical_dry"
"AUS.53563","tropical_dry","tropical_dry"
"AUS.53564","tropical_dry","tropical_dry"
"AUS.53565","tropical_dry","tropical_dry"
"AUS.53566","tropical_dry","tropical_dry"
"AUS.53567","tropical_dry","tropical_dry"
"AUS.53568","tropical_dry","tropical_dry"
"AUS.53569","tropical_dry","tropical_dry"
"AUS.53570","tropical_dry","tropical_dry"
"AUS.53571","warm_temperate_dry","temperate_dry"
"AUS.53572","warm_temperate_dry","temperate_dry"
"AUS.53573","warm_temperate_dry","temperate_dry"
"AUS.53574","tropical_dry","tropical_dry"
"AUS.53575","tropical_dry","tropical_dry"
"AUS.53576","tropical_dry","tropical_dry"
"AUS.53577","tropical_dry","tropical_dry"
"AUS.53578","tropical_dry","tropical_dry"
"AUS.53579","tropical_dry","tropical_dry"
"AUS.53580","tropical_dry","tropical_dry"
"AUS.53581","tropical_dry","tropical_dry"
"AUS.53582","tropical_dry","tropical_dry"
"AUS.53583","tropical_dry","tropical_dry"
"AUS.53584","tropical_dry","tropical_dry"
"AUS.53585","tropical_dry","tropical_dry"
"AUS.53586","tropical_dry","tropical_dry"
"AUS.53587","tropical_dry","tropical_dry"
"AUS.53588","tropical_dry","tropical_dry"
"AUS.53589","tropical_dry","tropical_dry"
"AUS.53590","tropical_dry","tropical_dry"
"AUS.53591","tropical_dry","tropical_dry"
"AUS.53592","tropical_dry","tropical_dry"
"AUS.53593","tropical_dry","tropical_dry"
"AUS.53594","tropical_dry","tropical_dry"
"AUS.53595","tropical_dry","tropical_dry"
"AUS.53596","tropical_dry","tropical_dry"
"AUS.53597","tropical_dry","tropical_dry"
"AUS.53598","tropical_dry","tropical_dry"
"AUS.53599","tropical_dry","tropical_dry"
"AUS.53600","tropical_dry","tropical_dry"
"AUS.53601","tropical_dry","tropical_dry"
"AUS.53602","tropical_dry","tropical_dry"
"AUS.53603","tropical_dry","tropical_dry"
"AUS.53604","tropical_dry","tropical_dry"
"AUS.53605","warm_temperate_dry","temperate_dry"
"AUS.53606","warm_temperate_dry","temperate_dry"
