FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
"619|Fruit, fresh nes","2625|Fruits, Other","619|Fruit, fresh nes","2625|Fruits, Other",others,
"656|Coffee, green",2630|Coffee and products,"656|Coffee, green",2630|Coffee and products,others,
"661|Cocoa, beans",2633|Cocoa Beans and products,"661|Cocoa, beans",2633|Cocoa Beans and products,others,
667|Tea,2635|Tea (including mate),667|Tea,2635|Tea (including mate),others,
671|Mate,2635|Tea (including mate),671|Mate,2635|Tea (including mate),others,
687|Pepper (piper spp),2640|Pepper,687|Pepper (piper spp),2640|Pepper,others,
"689|Chillies and peppers, dry",2641|Pimento,"689|Chillies and peppers, dry",2641|Pimento,others,
698|Cloves,2642|Cloves,698|Cloves,2642|Cloves,others,
692|Vanilla,"2645|Spices, Other",692|Vanilla,"2645|Spices, Other",others,
693|Cinnamon (canella),"2645|Spices, Other",693|Cinnamon (canella),"2645|Spices, Other",others,
"702|Nutmeg, mace and cardamoms","2645|Spices, Other","702|Nutmeg, mace and cardamoms","2645|Spices, Other",others,
"711|Anise, badian, fennel, coriander","2645|Spices, Other","711|Anise, badian, fennel, coriander","2645|Spices, Other",others,
720|Ginger,"2645|Spices, Other",720|Ginger,"2645|Spices, Other",others,
"723|Spices, nes","2645|Spices, Other","723|Spices, nes","2645|Spices, Other",others,
109|Infant food,2680|Infant food,,2680|Infant food,others,no production in ProdSTAT
"1594|Aquatic plants, fresh",2775|Aquatic Plants,,2775|Aquatic Plants,others,no production in ProdSTAT
"1595|Aquatic plants, dried",2775|Aquatic Plants,,2775|Aquatic Plants,others,no production in ProdSTAT
"1596|Aquatic plants, other preparations",2775|Aquatic Plants,,2775|Aquatic Plants,others,no production in ProdSTAT
,2899|Miscellaneous,,2899|Miscellaneous,livst_rum,no production in ProdSTAT
116|Potatoes,2531|Potatoes and products,116|Potatoes,2531|Potatoes and products,potato,
"176|Beans, dry",2546|Beans,"176|Beans, dry",2546|Beans,puls_pro,
"187|Peas, dry",2547|Peas,"187|Peas, dry",2547|Peas,puls_pro,
"181|Broad beans, horse beans, dry","2549|Pulses, Other and products","181|Broad beans, horse beans, dry","2549|Pulses, Other and products",puls_pro,
191|Chick peas,"2549|Pulses, Other and products",191|Chick peas,"2549|Pulses, Other and products",puls_pro,
"195|Cow peas, dry","2549|Pulses, Other and products","195|Cow peas, dry","2549|Pulses, Other and products",puls_pro,
197|Pigeon peas,"2549|Pulses, Other and products",197|Pigeon peas,"2549|Pulses, Other and products",puls_pro,
201|Lentils,"2549|Pulses, Other and products",201|Lentils,"2549|Pulses, Other and products",puls_pro,
203|Bambara beans,"2549|Pulses, Other and products",203|Bambara beans,"2549|Pulses, Other and products",puls_pro,
