Category,CountryA3,Sector
wood processing,PRY,wood and wood products
agriculture,PSE,Agriculture
fishery,PSE,Fishing
food processing,PSE,Food & Beverages
fuel,PSE,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,PSE,Electrical and Machinery
manufacturing,PSE,Finacial Intermediation and Business Activities
manufacturing,PSE,Metal Products
manufacturing,PSE,Other Manufacturing
manufacturing,PSE,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,PSE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,PSE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,PSE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,PSE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,PSE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,PSE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,PSE,Mining and Quarrying
public services,PSE,Public Administration
research,PSE,"Education, Health and Other Services"
services,PSE,Construction
services,PSE,Hotels and Restraurants
services,PSE,Maintenance and Repair
services,PSE,Others
services,PSE,Post and Telecommunications
services,PSE,Private Households
services,PSE,Recycling
transport,PSE,Re-export & Re-import
transport,PSE,Retail Trade
transport,PSE,Transport
transport,PSE,Transport Equipment
transport,PSE,Wholesale Trade
water,PSE,"Electricity, Gas and Water"
wood processing,PSE,Wood and Paper
agriculture,PYF,Agriculture
fishery,PYF,Fishing
food processing,PYF,Food & Beverages
fuel,PYF,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,PYF,Electrical and Machinery
manufacturing,PYF,Finacial Intermediation and Business Activities
manufacturing,PYF,Metal Products
manufacturing,PYF,Other Manufacturing
manufacturing,PYF,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,PYF,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,PYF,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,PYF,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,PYF,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,PYF,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,PYF,Primary Inputs_Taxes on production D_29
primary non-agricultural products,PYF,Mining and Quarrying
public services,PYF,Public Administration
research,PYF,"Education, Health and Other Services"
services,PYF,Construction
services,PYF,Hotels and Restraurants
services,PYF,Maintenance and Repair
services,PYF,Others
services,PYF,Post and Telecommunications
services,PYF,Private Households
services,PYF,Recycling
transport,PYF,Re-export & Re-import
transport,PYF,Retail Trade
transport,PYF,Transport
transport,PYF,Transport Equipment
transport,PYF,Wholesale Trade
water,PYF,"Electricity, Gas and Water"
wood processing,PYF,Wood and Paper
agriculture,QAT,Agriculture
fishery,QAT,Fishing
food processing,QAT,Food & Beverages
fuel,QAT,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,QAT,Electrical and Machinery
manufacturing,QAT,Finacial Intermediation and Business Activities
manufacturing,QAT,Metal Products
manufacturing,QAT,Other Manufacturing
manufacturing,QAT,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,QAT,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,QAT,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,QAT,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,QAT,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,QAT,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,QAT,Primary Inputs_Taxes on production D_29
primary non-agricultural products,QAT,Mining and Quarrying
public services,QAT,Public Administration
research,QAT,"Education, Health and Other Services"
services,QAT,Construction
services,QAT,Hotels and Restraurants
services,QAT,Maintenance and Repair
services,QAT,Others
services,QAT,Post and Telecommunications
services,QAT,Private Households
services,QAT,Recycling
transport,QAT,Re-export & Re-import
transport,QAT,Retail Trade
transport,QAT,Transport
transport,QAT,Transport Equipment
transport,QAT,Wholesale Trade
water,QAT,"Electricity, Gas and Water"
wood processing,QAT,Wood and Paper
agriculture,ROU,"Products of agriculture, hunting and related services"
chemicals,ROU,"Chemicals, chemical products and man-made fibres"
fishery,ROU,Fish and other fishing products; services incidental of fishing
food processing,ROU,Food products and beverages
food processing,ROU,Tobacco products
forestry,ROU,"Products of forestry, logging and related services"
fuel,ROU,Coal and lignite; peat
fuel,ROU,"Coke, refined petroleum products and nuclear fuels"
fuel,ROU,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,ROU,Computer and related services
manufacturing,ROU,Electrical machinery and apparatus n_e_c_
manufacturing,ROU,"Fabricated metal products, except machinery and equipment"
manufacturing,ROU,Furniture; other manufactured goods n_e_c_
manufacturing,ROU,Machinery and equipment n_e_c_
manufacturing,ROU,"Medical, precision and optical instruments, watches and clocks"
manufacturing,ROU,"Motor vehicles, trailers and semi-trailers"
manufacturing,ROU,Office machinery and computers
manufacturing,ROU,Other non-metallic mineral products
manufacturing,ROU,Printed matter and recorded media
manufacturing,ROU,"Radio, television and communication equipment and apparatus"
manufacturing,ROU,Rubber and plastic products
manufacturing,ROU,Secondary raw materials
manufacturing,ROU,Textiles
Primary Inputs_Compensation of employees D_1,ROU,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ROU,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ROU,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ROU,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ROU,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ROU,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ROU,Basic metals
primary non-agricultural products,ROU,Metal ores
primary non-agricultural products,ROU,Other mining and quarrying products
primary non-agricultural products,ROU,Uranium and thorium ores
public services,ROU,Public administration and defence services; compulsory social security services
remaining,ROU,Leather and leather products
remaining,ROU,Wearing apparel; furs
research,ROU,Education services
research,ROU,Research and development services
services,ROU,Air transport services
services,ROU,Construction work
services,ROU,"Financial intermediation services, except insurance and pension funding services"
services,ROU,FISIM
services,ROU,Health and social work services
services,ROU,Hotel and restaurant services
services,ROU,"Insurance and pension funding services, except compulsory social security services"
services,ROU,Membership organisation services n_e_c_
services,ROU,Other business services
services,ROU,Other services
services,ROU,Post and telecommunication services
services,ROU,Private households with employed persons
services,ROU,Real estate services
services,ROU,"Recreational, cultural and sporting services"
services,ROU,Renting services of machinery and equipment without operator and of personal and household goods
services,ROU,Services auxiliary to financial intermediation
services,ROU,"Sewage and refuse disposal services, sanitation and similar services"
transport,ROU,Land transport; transport via pipeline services
transport,ROU,Other transport equipment
transport,ROU,Re-export
transport,ROU,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,ROU,Supporting and auxiliary transport services; travel agency services
transport,ROU,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,ROU,Water transport services
transport,ROU,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,ROU,"Collected and purified water, distribution services of water"
water,ROU,"Electrical energy, gas, steam and hot water"
wood processing,ROU,"Pulp, paper and paper products"
wood processing,ROU,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
Primary Inputs_Compensation of employees D_1,ROW,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ROW,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ROW,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ROW,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ROW,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ROW,Primary Inputs_Taxes on production D_29
agriculture,RUS,"Agriculture, hunting, forestry and fishing"
buildings,RUS,Building & repairing of ships & boats
chemicals,RUS,Chemicals excluding pharmaceuticals
food processing,RUS,"Food products, beverages and tobacco"
fuel,RUS,"Coke, refined petroleum products and nuclear fuel"
fuel,RUS,Manufacture of gas; distribution of gaseous fuels through mains
fuel,RUS,Mining and quarrying (energy)
fuel,RUS,"Production, collection and distribution of electricity"
manufacturing,RUS,Aircraft & spacecraft
manufacturing,RUS,"Electrical machinery & apparatus, nec"
manufacturing,RUS,"Fabricated metal products, except machinery & equipment"
manufacturing,RUS,"Machinery & equipment, nec"
manufacturing,RUS,Manufacturing nec; recycling (include Furniture)
manufacturing,RUS,"Medical, precision & optical instruments"
manufacturing,RUS,"Motor vehicles, trailers & semi-trailers"
manufacturing,RUS,"Office, accounting & computing machinery"
manufacturing,RUS,Other non-metallic mineral products
manufacturing,RUS,Pharmaceuticals
manufacturing,RUS,"Radio, television & communication equipment"
manufacturing,RUS,Rubber & plastics products
manufacturing,RUS,Steam and hot water supply
manufacturing,RUS,"Textiles, textile products, leather and footwear"
Primary Inputs_Compensation of employees D_1,RUS,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,RUS,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,RUS,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,RUS,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,RUS,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,RUS,Primary Inputs_Taxes on production D_29
primary non-agricultural products,RUS,Iron & steel
primary non-agricultural products,RUS,Mining and quarrying (non-energy)
primary non-agricultural products,RUS,Non-ferrous metals
public services,RUS,Public admin_ & defence; compulsory social security
research,RUS,Education
research,RUS,Research & development
services,RUS,Computer & related activities
services,RUS,Construction
services,RUS,Finance & insurance
services,RUS,Health & social work
services,RUS,Hotels & restaurants
services,RUS,Other Business Activities
services,RUS,"Other community, social & personal services"
services,RUS,Post & telecommunications
services,RUS,Private households with employed persons & extra-territorial organisations & bodies
services,RUS,Real estate activities
services,RUS,Renting of machinery & equipment
services,RUS,Wholesale & retail trade; repairs
transport,RUS,Air transport
transport,RUS,Land transport; transport via pipelines
transport,RUS,Railroad equipment & transport equip nec_
transport,RUS,Re-export
transport,RUS,Supporting and auxiliary transport activities; activities of travel agencies
transport,RUS,Water transport
water,RUS,"Collection, purification and distribution of water"
wood processing,RUS,"Pulp, paper, paper products, printing and publishing"
wood processing,RUS,Wood and products of wood and cork
agriculture,RWA,Agriculture
fishery,RWA,Fishing
food processing,RWA,Food & Beverages
fuel,RWA,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,RWA,Electrical and Machinery
manufacturing,RWA,Finacial Intermediation and Business Activities
manufacturing,RWA,Metal Products
manufacturing,RWA,Other Manufacturing
manufacturing,RWA,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,RWA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,RWA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,RWA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,RWA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,RWA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,RWA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,RWA,Mining and Quarrying
public services,RWA,Public Administration
research,RWA,"Education, Health and Other Services"
services,RWA,Construction
services,RWA,Hotels and Restraurants
services,RWA,Maintenance and Repair
services,RWA,Others
services,RWA,Post and Telecommunications
services,RWA,Private Households
services,RWA,Recycling
transport,RWA,Re-export & Re-import
transport,RWA,Retail Trade
transport,RWA,Transport
transport,RWA,Transport Equipment
transport,RWA,Wholesale Trade
water,RWA,"Electricity, Gas and Water"
wood processing,RWA,Wood and Paper
agriculture,SAU,Agriculture
fishery,SAU,Fishing
food processing,SAU,Food & Beverages
fuel,SAU,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SAU,Electrical and Machinery
manufacturing,SAU,Finacial Intermediation and Business Activities
manufacturing,SAU,Metal Products
manufacturing,SAU,Other Manufacturing
manufacturing,SAU,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SAU,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SAU,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SAU,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SAU,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SAU,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SAU,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SAU,Mining and Quarrying
public services,SAU,Public Administration
research,SAU,"Education, Health and Other Services"
services,SAU,Construction
services,SAU,Hotels and Restraurants
services,SAU,Maintenance and Repair
services,SAU,Others
services,SAU,Post and Telecommunications
services,SAU,Private Households
services,SAU,Recycling
transport,SAU,Re-export & Re-import
transport,SAU,Retail Trade
transport,SAU,Transport
transport,SAU,Transport Equipment
transport,SAU,Wholesale Trade
water,SAU,"Electricity, Gas and Water"
wood processing,SAU,Wood and Paper
agriculture,SDS,Agriculture
fishery,SDS,Fishing
food processing,SDS,Food & Beverages
fuel,SDS,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SDS,Electrical and Machinery
manufacturing,SDS,Finacial Intermediation and Business Activities
manufacturing,SDS,Metal Products
manufacturing,SDS,Other Manufacturing
manufacturing,SDS,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SDS,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SDS,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SDS,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SDS,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SDS,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SDS,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SDS,Mining and Quarrying
public services,SDS,Public Administration
research,SDS,"Education, Health and Other Services"
services,SDS,Construction
services,SDS,Hotels and Restraurants
services,SDS,Maintenance and Repair
services,SDS,Others
services,SDS,Post and Telecommunications
services,SDS,Private Households
services,SDS,Recycling
transport,SDS,Re-export & Re-import
transport,SDS,Retail Trade
transport,SDS,Transport
transport,SDS,Transport Equipment
transport,SDS,Wholesale Trade
water,SDS,"Electricity, Gas and Water"
wood processing,SDS,Wood and Paper
agriculture,SEN,Agriculture
fishery,SEN,Fishing
food processing,SEN,Food & Beverages
fuel,SEN,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SEN,Electrical and Machinery
manufacturing,SEN,Finacial Intermediation and Business Activities
manufacturing,SEN,Metal Products
manufacturing,SEN,Other Manufacturing
manufacturing,SEN,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SEN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SEN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SEN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SEN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SEN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SEN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SEN,Mining and Quarrying
public services,SEN,Public Administration
research,SEN,"Education, Health and Other Services"
services,SEN,Construction
services,SEN,Hotels and Restraurants
services,SEN,Maintenance and Repair
services,SEN,Others
services,SEN,Post and Telecommunications
services,SEN,Private Households
services,SEN,Recycling
transport,SEN,Re-export & Re-import
transport,SEN,Retail Trade
transport,SEN,Transport
transport,SEN,Transport Equipment
transport,SEN,Wholesale Trade
water,SEN,"Electricity, Gas and Water"
wood processing,SEN,Wood and Paper
agriculture,SGP,Dairy products
alcohol,SGP,Alcoholic drinks
buildings,SGP,Building construction
buildings,SGP,Building of ships & boats
buildings,SGP,Ownership of dwellings
chemicals,SGP,Industrial chemicals & gases
chemicals,SGP,Other chemical products
chemicals,SGP,Petrochemicals & petrochemical products
crops,SGP,Coffee & tea
crops,SGP,Other agriculture
fishery,SGP,Other fisheries
food processing,SGP,Food chemicals & additives
food processing,SGP,Fruit & vegetable preparations
food processing,SGP,Meat preparations
food processing,SGP,Other food preparations
food processing,SGP,Seafood preparations
food processing,SGP,Soft drinks
food processing,SGP,Spices
food processing,SGP,"Sugar, chocolate & related products"
food processing,SGP,Tobacco products
fuel,SGP,Electricity
fuel,SGP,Gas
fuel,SGP,Petroleum & petroleum products
livestock,SGP,Livestock
manufacturing,SGP,Aircraft
manufacturing,SGP,Aquarium fish
manufacturing,SGP,Audio & video equipment
manufacturing,SGP,Basic iron & steel 
manufacturing,SGP,"Bread, biscuits & confectionery"
manufacturing,SGP,Bricks & earth-baked products
manufacturing,SGP,Capacitors & resistors
manufacturing,SGP,Cement
manufacturing,SGP,Cleaning & polishing preparations
manufacturing,SGP,Communication equipment
manufacturing,SGP,Computers & computer peripheral equipment
manufacturing,SGP,Concrete products
manufacturing,SGP,Disk drives
manufacturing,SGP,Electric motors & generators
manufacturing,SGP,Electrical wires & cables
manufacturing,SGP,Electron tubes
manufacturing,SGP,Fibreglass & fibreglass products
manufacturing,SGP,Footwear
manufacturing,SGP,Garments
manufacturing,SGP,General hardware
manufacturing,SGP,Glass & glass products
manufacturing,SGP,Household appliances
manufacturing,SGP,Information technology
manufacturing,SGP,Jewellery
manufacturing,SGP,Lamp & lighting fixtures
manufacturing,SGP,Lifting & hoisting machinery
manufacturing,SGP,Marine engines & ship parts
manufacturing,SGP,Mattresses
manufacturing,SGP,Metal containers
manufacturing,SGP,Metal furniture
manufacturing,SGP,Metal precision components
manufacturing,SGP,Metal stampings
manufacturing,SGP,Millinery & other wearing apparel
manufacturing,SGP,Non-insulated cable products
manufacturing,SGP,Non-metallic mineral products
manufacturing,SGP,Nursery products
manufacturing,SGP,Oil rigs & oilfield machinery
manufacturing,SGP,Other electrical industrial apparatus
manufacturing,SGP,Other electronic products
manufacturing,SGP,Other industrial machinery & equipment
manufacturing,SGP,Other manufacturing
manufacturing,SGP,Other metal products
manufacturing,SGP,Other plastic products
manufacturing,SGP,Other printing
manufacturing,SGP,Paints
manufacturing,SGP,Pharmaceutical products
manufacturing,SGP,Photographic & optical goods
manufacturing,SGP,Plastic precision products
manufacturing,SGP,Polymers & man-made fibres
manufacturing,SGP,Printed circuit boards
manufacturing,SGP,Processing of rubber & natural gums
manufacturing,SGP,Refrigerators & air-conditioners
manufacturing,SGP,Rubber products
manufacturing,SGP,Scrap
manufacturing,SGP,Semiconductors
manufacturing,SGP,Structural metal products
manufacturing,SGP,Switchgear & switchboard apparatus
manufacturing,SGP,Tailoring & dressmaking
manufacturing,SGP,Textile articles
manufacturing,SGP,Toiletries & cosmetics
manufacturing,SGP,Toys & recreational goods
manufacturing,SGP,Treatment & coating of metals
manufacturing,SGP,Watches & clocks
manufacturing,SGP,Yarn & fabrics
milling,SGP,Mill & starch products
milling,SGP,Noodles & related products
oils,SGP,Oils & fats
Primary Inputs_Compensation of employees D_1,SGP,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SGP,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SGP,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SGP,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SGP,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SGP,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SGP,Non-ferrous basic metals
public infrastructure,SGP,Communications
public infrastructure,SGP,Passenger transport by land
public services,SGP,Producers of government services
remaining,SGP,Leather & fur products
research,SGP,Education
services,SGP,Accommodation services
services,SGP,Accounting & secretarial services
services,SGP,Advertising & exhibitions
services,SGP,Airport operation services
services,SGP,Architectural & engineering services
services,SGP,Banks & finance companies
services,SGP,Broadcasting & entertainment services
services,SGP,Cinema services
services,SGP,Crane & container services
services,SGP,Domestic services 
services,SGP,Employment & labour contracting
services,SGP,Environmental health services
services,SGP,Food & beverage services
services,SGP,General & other insurance
services,SGP,General engineering works
services,SGP,Hotel management services
services,SGP,Imputed bank service charges
services,SGP,Industrial design services
services,SGP,Leasing of machinery & equipment
services,SGP,Legal services
services,SGP,Life insurance
services,SGP,Management consultants
services,SGP,Medical & health services
services,SGP,Medical & scientific instruments
services,SGP,"Newspapers, books & magazines"
services,SGP,Non-profit bodies
services,SGP,Other business & technical services
services,SGP,Other construction
services,SGP,Other financial services
services,SGP,Other recreational services
services,SGP,Personal & household services
services,SGP,Petroleum & mining consultants
services,SGP,Port operation services
services,SGP,Publishing
services,SGP,Real estate
services,SGP,Recorded media
services,SGP,Repairing of ships & boats
services,SGP,Repairs of household goods
services,SGP,Security services
services,SGP,Sight-seeing & tourism
services,SGP,Storage & primary batteries
services,SGP,Warehousing services
transport,SGP,Air transport
transport,SGP,Freight transport by land
transport,SGP,Land transport equipment
transport,SGP,Other freight transport
transport,SGP,Other transport services
transport,SGP,Re-import
transport,SGP,Repairs of road transport equipment
transport,SGP,Supporting services to air transport
transport,SGP,Supporting services to water transport
transport,SGP,Water transport
transport,SGP,Wholesale & retail trades
water,SGP,Water
wood processing,SGP,Paper & paper products
wood processing,SGP,Wood & wooden products
wood processing,SGP,Wooden furniture & fixtures
agriculture,SLE,Agriculture
fishery,SLE,Fishing
food processing,SLE,Food & Beverages
fuel,SLE,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SLE,Electrical and Machinery
manufacturing,SLE,Finacial Intermediation and Business Activities
manufacturing,SLE,Metal Products
manufacturing,SLE,Other Manufacturing
manufacturing,SLE,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SLE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SLE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SLE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SLE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SLE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SLE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SLE,Mining and Quarrying
public services,SLE,Public Administration
research,SLE,"Education, Health and Other Services"
services,SLE,Construction
services,SLE,Hotels and Restraurants
services,SLE,Maintenance and Repair
services,SLE,Others
services,SLE,Post and Telecommunications
services,SLE,Private Households
services,SLE,Recycling
transport,SLE,Re-export & Re-import
transport,SLE,Retail Trade
transport,SLE,Transport
transport,SLE,Transport Equipment
transport,SLE,Wholesale Trade
water,SLE,"Electricity, Gas and Water"
wood processing,SLE,Wood and Paper
agriculture,SLV,Agriculture
fishery,SLV,Fishing
food processing,SLV,Food & Beverages
fuel,SLV,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SLV,Electrical and Machinery
manufacturing,SLV,Finacial Intermediation and Business Activities
manufacturing,SLV,Metal Products
manufacturing,SLV,Other Manufacturing
manufacturing,SLV,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SLV,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SLV,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SLV,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SLV,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SLV,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SLV,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SLV,Mining and Quarrying
public services,SLV,Public Administration
research,SLV,"Education, Health and Other Services"
services,SLV,Construction
services,SLV,Hotels and Restraurants
services,SLV,Maintenance and Repair
services,SLV,Others
services,SLV,Post and Telecommunications
services,SLV,Private Households
services,SLV,Recycling
transport,SLV,Re-export & Re-import
transport,SLV,Retail Trade
transport,SLV,Transport
transport,SLV,Transport Equipment
transport,SLV,Wholesale Trade
water,SLV,"Electricity, Gas and Water"
wood processing,SLV,Wood and Paper
agriculture,SMR,Agriculture
fishery,SMR,Fishing
food processing,SMR,Food & Beverages
fuel,SMR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SMR,Electrical and Machinery
manufacturing,SMR,Finacial Intermediation and Business Activities
manufacturing,SMR,Metal Products
manufacturing,SMR,Other Manufacturing
manufacturing,SMR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SMR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SMR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SMR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SMR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SMR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SMR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SMR,Mining and Quarrying
public services,SMR,Public Administration
research,SMR,"Education, Health and Other Services"
services,SMR,Construction
services,SMR,Hotels and Restraurants
services,SMR,Maintenance and Repair
services,SMR,Others
services,SMR,Post and Telecommunications
services,SMR,Private Households
services,SMR,Recycling
transport,SMR,Re-export & Re-import
transport,SMR,Retail Trade
transport,SMR,Transport
transport,SMR,Transport Equipment
transport,SMR,Wholesale Trade
water,SMR,"Electricity, Gas and Water"
wood processing,SMR,Wood and Paper
agriculture,SOM,Agriculture
fishery,SOM,Fishing
food processing,SOM,Food & Beverages
fuel,SOM,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SOM,Electrical and Machinery
manufacturing,SOM,Finacial Intermediation and Business Activities
manufacturing,SOM,Metal Products
manufacturing,SOM,Other Manufacturing
manufacturing,SOM,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SOM,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,SOM,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,SOM,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,SOM,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,SOM,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,SOM,Primary Inputs_Taxes on production D_29
primary non-agricultural products,SOM,Mining and Quarrying
public services,SOM,Public Administration
research,SOM,"Education, Health and Other Services"
services,SOM,Construction
services,SOM,Hotels and Restraurants
services,SOM,Maintenance and Repair
services,SOM,Others
services,SOM,Post and Telecommunications
services,SOM,Private Households
services,SOM,Recycling
transport,SOM,Re-export & Re-import
transport,SOM,Retail Trade
transport,SOM,Transport
transport,SOM,Transport Equipment
transport,SOM,Wholesale Trade
water,SOM,"Electricity, Gas and Water"
wood processing,SOM,Wood and Paper
agriculture,SRB,Agriculture
fishery,SRB,Fishing
food processing,SRB,Food & Beverages
fuel,SRB,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,SRB,Electrical and Machinery
manufacturing,SRB,Finacial Intermediation and Business Activities
manufacturing,SRB,Metal Products
manufacturing,SRB,Other Manufacturing
manufacturing,SRB,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,SRB,Primary Inputs_Compensation of employees D_1
